source_id,n_ra,n_parallax,n_pmra,n_pmdec,n_phot_g_mean_flux,n_phot_g_mean_mag,n_phot_bp_mean_flux,n_phot_bp_mean_mag,n_phot_rp_mean_flux,n_phot_rp_mean_mag,n_bp_rp,n_bp_g,n_g_rp,teff_gspphot,logg_gspphot,mh_gspphot
82611977951716304,0.564,0.088,0.017,0.428,0.043,0.828,0.089,0.611,0.062,0.707,0.537,0.492,0.695,3707.9775,4.2869,-1.9408
19263649877760800,0.698,0.287,0.321,0.614,0.044,0.825,0.104,0.578,0.063,0.706,0.507,0.437,0.694,3751.8809,4.4324,-1.7775
75649080050886592,0.148,0.08,0.261,0.73,0.04,0.84,0.145,0.503,0.038,0.792,0.362,0.282,0.532,4781.787,4.8381,-2.8646
75584174504998896,0.208,0.027,0.105,0.743,0.009,0.958,0.091,0.605,0.026,0.841,0.414,0.304,0.634,4213.3228,5.0329,-1.9835
73124571288998400,0.023,0.13,0.095,0.513,0.138,0.608,0.248,0.372,0.125,0.562,0.441,0.364,0.623,4350.148,4.8476,-1.2832
76454064296673504,0.4,0.175,0.126,0.432,0.463,0.261,0.776,0.071,0.331,0.315,0.376,0.298,0.546,4762.3354,4.3799,-1.5425
75191618789589504,0.676,0.101,0.344,0.346,0.273,0.424,0.56,0.16,0.172,0.485,0.31,0.235,0.464,5491.7686,4.7431,-1.7701
103119866970235008,0.336,0.013,0.053,0.622,0.027,0.883,0.154,0.488,0.015,0.897,0.255,0.196,0.38,6283.7993,4.6811,-2.7824
86175529497213904,0.874,0.339,0.162,0.929,0.03,0.872,0.061,0.686,0.057,0.724,0.593,0.568,0.736,4000.227,4.4917,-0.0745
76038650764274496,0.464,0.177,0.161,0.702,0.439,0.278,0.771,0.073,0.301,0.341,0.355,0.278,0.52,4898.719,4.3949,-1.1178
101744579786916992,0.223,0.061,0.08,0.592,0.364,0.337,0.732,0.087,0.227,0.415,0.303,0.222,0.463,5475.146,4.6104,-1.2077
74872829137023808,0.737,0.572,0.061,0.71,0.024,0.894,0.025,0.823,0.074,0.676,0.764,0.785,0.88,3256.8416,4.9412,-0.0821
79831278685304992,0.046,0.13,0.073,0.442,0.095,0.692,0.235,0.386,0.077,0.667,0.361,0.273,0.543,4762.4688,4.8102,-1.3164
103369314375798000,0.275,0.114,0.155,0.372,0.308,0.388,0.618,0.133,0.199,0.449,0.316,0.236,0.478,5345.851,4.735,-1.6694
79702120429440800,0.017,0.024,0.193,0.495,0.042,0.833,0.143,0.507,0.043,0.771,0.383,0.298,0.565,4490.7163,4.8348,-1.18
85920653253420800,0.128,0.167,0.145,0.636,0.108,0.664,0.178,0.454,0.112,0.588,0.495,0.435,0.665,3927.8818,4.7554,-0.897
25981567139176900,0.698,0.216,0.247,0.438,0.42,0.292,0.702,0.099,0.303,0.338,0.381,0.305,0.55,4712.0786,4.7848,-1.2455
25993936644990800,0.638,0.231,0.387,0.328,0.502,0.235,0.881,0.036,0.339,0.309,0.349,0.272,0.514,5003.683,4.7006,-0.9993
86843963847294400,0.265,0.434,0.063,0.522,0.016,0.929,0.054,0.709,0.049,0.749,0.592,0.531,0.782,3512.1514,4.5068,-1.5346
26800424128719200,0.964,0.017,0.125,0.387,0.014,0.935,0.106,0.574,0.02,0.871,0.359,0.28,0.529,4852.09,4.8986,-2.2225
103280288293782000,0.599,0.077,0.113,0.56,0.182,0.537,0.365,0.273,0.127,0.558,0.352,0.283,0.507,4909.3105,4.8131,-1.5816
76444233116153200,0.33,0.17,0.126,0.721,0.086,0.712,0.189,0.44,0.078,0.664,0.415,0.344,0.584,4448.503,4.9124,-1.6714
79536678288943296,0.196,0.289,0.188,0.062,0.175,0.548,0.226,0.395,0.177,0.478,0.536,0.488,0.699,4176.5312,4.6616,-0.0398
86365401411711296,0.772,0.243,0.067,0.73,0.055,0.793,0.101,0.583,0.076,0.67,0.544,0.491,0.714,3603.2627,4.4374,-1.1792
106932522323991008,0.049,0.105,0.069,0.67,0.03,0.874,0.156,0.485,0.02,0.871,0.276,0.203,0.423,5595.194,4.7583,-3.2607
86633750968456096,0.706,0.791,0.165,0.017,0.001,0.993,0.011,0.905,0.043,0.771,0.757,0.796,0.848,3171.2656,4.8041,-0.9668
19658855588446900,0.614,0.363,0.075,0.377,0.181,0.539,0.248,0.372,0.181,0.472,0.52,0.459,0.695,4133.3438,4.6947,-0.2181
86285759833398096,0.934,0.241,0.215,0.628,0.124,0.633,0.221,0.401,0.11,0.592,0.442,0.382,0.602,4267.2485,4.7639,-1.215
106610709013838000,0.128,0.324,0.159,0.779,0.029,0.877,0.084,0.622,0.048,0.754,0.506,0.445,0.681,3782.2146,4.6297,-1.6608
89818761275775808,0.919,0.263,0.112,0.548,0.087,0.711,0.138,0.513,0.098,0.617,0.525,0.477,0.685,3864.948,4.6291,-0.5677
89602741600856704,0.932,0.073,0.14,0.42,0.148,0.59,0.291,0.332,0.119,0.574,0.393,0.316,0.566,4617.871,4.7875,-1.1265
79394119734089792,0.011,0.06,0.156,0.588,0.068,0.758,0.196,0.431,0.054,0.734,0.345,0.264,0.513,5038.1294,4.7898,-1.9148
74316338814450800,0.384,0.154,0.142,0.847,0.219,0.487,0.423,0.234,0.159,0.504,0.362,0.281,0.535,4848.3726,4.8446,-1.8098
23035971193243000,0.247,0.077,0.147,0.396,0.046,0.819,0.179,0.453,0.033,0.813,0.296,0.22,0.449,5577.906,4.7505,-1.7127
89297940657179696,0.476,0.035,0.338,0.538,0.343,0.355,0.678,0.108,0.217,0.426,0.313,0.235,0.472,5359.265,4.7215,-1.797
23668637055483600,0.006,0.317,0.173,0.665,0.146,0.594,0.26,0.361,0.133,0.548,0.442,0.363,0.628,4186.701,4.8133,-1.1159
103506650249780992,0.507,0.03,0.088,0.404,0.046,0.82,0.154,0.489,0.04,0.783,0.357,0.285,0.516,4871.889,4.8828,-1.9941
89119063859206496,0.875,0.061,0.107,0.481,0.46,0.263,0.876,0.038,0.305,0.337,0.325,0.236,0.501,5230.2827,4.7241,-1.5117
86865507403420800,0.244,0.098,0.259,0.076,0.054,0.797,0.156,0.486,0.046,0.76,0.374,0.309,0.527,4850.364,4.8792,-2.2094
75179897823268192,0.528,0.201,0.025,0.719,0.089,0.706,0.148,0.498,0.095,0.622,0.506,0.457,0.665,3893.0935,4.7399,-1.007
86568570544582400,0.772,0.447,0.4,0.885,0.003,0.986,0.015,0.878,0.049,0.752,0.748,0.758,0.876,3205.4248,4.9552,-0.0483
82523093604078800,0.689,0.095,0.19,0.024,0.554,0.202,0.811,0.059,0.441,0.236,0.434,0.357,0.615,5088.887,4.5129,-2.3185
103582245969460992,0.392,0.156,0.061,0.578,0.171,0.554,0.391,0.255,0.109,0.593,0.304,0.227,0.46,5424.42,4.7393,-1.2705
86657905864040496,0.669,0.027,0.093,0.559,0.04,0.838,0.165,0.472,0.028,0.833,0.297,0.229,0.441,5449.884,4.772,-2.1513
86353031905865200,0.877,0.17,0.092,0.719,0.369,0.333,0.694,0.101,0.244,0.396,0.333,0.254,0.497,5125.6196,4.7358,-1.4873
101358380623023008,0.404,0.164,0.328,0.296,0.088,0.708,0.241,0.38,0.057,0.723,0.306,0.24,0.449,5271.183,4.7828,-1.7137
26263999892960800,0.532,0.058,0.08,0.523,0.005,0.975,0.08,0.633,0.015,0.896,0.392,0.33,0.545,4781.9287,4.903,-2.066
82653248293155504,0.823,0.288,0.121,0.858,0.213,0.495,0.316,0.31,0.189,0.462,0.471,0.408,0.64,4073.1377,4.3963,-0.7226
26003931033815500,0.761,0.057,0.081,0.575,0.079,0.729,0.206,0.419,0.063,0.706,0.359,0.282,0.525,4800.846,4.8765,-1.9274
102684013689070000,0.18,0.137,0.233,0.638,0.346,0.353,0.669,0.111,0.222,0.42,0.321,0.244,0.48,5306.2236,4.7284,-1.1151
102938889933000000,0.086,0.119,0.128,0.641,0.102,0.677,0.261,0.359,0.073,0.676,0.329,0.246,0.498,5188.435,4.7419,-1.2519
102444693816204992,0.688,0.114,0.046,0.531,0.205,0.506,0.4,0.249,0.142,0.531,0.353,0.283,0.509,4938.8184,4.7322,-0.8727
86627673589812304,0.667,0.178,0.111,0.449,0.14,0.604,0.308,0.317,0.103,0.605,0.352,0.27,0.523,4881.9507,4.8575,-2.0249
99782982323963200,0.216,0.163,0.281,0.982,0.083,0.72,0.17,0.466,0.088,0.64,0.46,0.379,0.651,4064.4888,4.7273,-1.52
75601079496350208,0.179,0.756,0.281,0.736,0.095,0.693,0.088,0.613,0.14,0.536,0.69,0.682,0.829,3505.727,4.8971,-0.3516
73166971206132896,0.008,0.18,0.194,0.392,0.382,0.322,0.694,0.101,0.267,0.372,0.354,0.269,0.53,5155.0435,4.7832,-2.0162
74435734609844400,0.384,0.013,0.086,0.332,0.052,0.802,0.149,0.496,0.053,0.737,0.403,0.321,0.585,4442.8555,4.6677,-1.1212
106614110627995008,0.119,0.121,0.035,0.532,0.054,0.797,0.161,0.478,0.045,0.765,0.362,0.296,0.515,4785.13,4.8374,-1.4846
